recording_id,dataset_id,subject_id,label,relative_path,n_rows,duration_s,median_dt_ms,min_dt_ms,max_dt_ms,non_increasing_steps,gaps_over_100ms
dataset_a:imu_20260721_203715,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_203715.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203739,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_203739.csv,2002,20.009,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203800,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_203800.csv,2002,20.009,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203825,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_203825.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_204013,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_204013.csv,2001,20.002,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_220136,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220136.csv,2001,20.001,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_220201,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220201.csv,2001,20.004,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_220237,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220237.csv,2001,20.001,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_220259,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220259.csv,2001,20.006,10.0,9.0,12.0,0,0
dataset_a:imu_20260721_220322,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220322.csv,2001,20.005,10.0,6.0,15.0,0,0
dataset_a:imu_20260721_220347,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220347.csv,2001,20.005,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_220409,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_220409.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221129,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221129.csv,2001,20.005,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_221151,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221151.csv,2001,20.006,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221214,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221214.csv,2001,20.004,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_221235,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221235.csv,2001,20.006,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221256,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221256.csv,2001,20.006,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_221318,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221318.csv,2001,20.006,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221339,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221339.csv,2001,20.005,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_221400,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221400.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221433,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221433.csv,2001,20.005,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_221455,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221455.csv,2001,20.007,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_221516,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221516.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221704,dataset_a,euno,non_tremor,data/raw/dataset_a/nontremor_euno/imu_20260721_221704.csv,2001,20.004,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222227,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222227.csv,2002,20.008,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222248,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222248.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222310,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222310.csv,2002,20.008,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222332,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222332.csv,2002,20.009,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222355,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222355.csv,2002,20.009,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222703,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222703.csv,2002,20.007,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222726,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222726.csv,2002,20.007,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222747,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222747.csv,2002,20.006,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222813,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222813.csv,2002,20.009,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222834,dataset_a,march,non_tremor,data/raw/dataset_a/nontremor_march/imu_20260721_222834.csv,2002,20.009,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_201428,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201428.csv,2001,20.002,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201455,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201455.csv,2001,20.002,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_201609,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201609.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201735,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201735.csv,2001,20.008,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_201808,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201808.csv,2001,20.007,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201832,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201832.csv,2001,20.006,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201855,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201855.csv,2000,20.0,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_201917,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201917.csv,2001,20.002,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201938,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_201938.csv,2001,20.003,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_202000,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202000.csv,2001,20.0,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202022,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202022.csv,2001,20.002,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202043,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202043.csv,2001,20.0,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_202111,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202111.csv,2001,20.002,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_202136,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202136.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202205,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202205.csv,2001,20.002,10.0,5.0,14.0,0,0
dataset_a:imu_20260721_202252,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202252.csv,2001,20.006,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202326,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202326.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202355,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202355.csv,2001,20.002,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_202446,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202446.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202508,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202508.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202529,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202529.csv,2001,20.005,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_202550,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202550.csv,2001,20.005,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_202613,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202613.csv,2001,20.006,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_202634,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202634.csv,2001,20.005,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_202704,dataset_a,seojin,non_tremor,data/raw/dataset_a/nontremor_seojin/imu_20260721_202704.csv,2001,20.005,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_223440,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_223440.csv,2000,20.0,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_223504,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_223504.csv,2001,20.009,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_223730,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_223730.csv,2000,20.001,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_223808,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_223808.csv,2000,20.002,10.0,8.0,11.0,0,0
dataset_a:imu_20260721_223840,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_223840.csv,2000,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_224047,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_224047.csv,2000,20.001,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_224120,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_224120.csv,2000,20.002,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_224153,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_224153.csv,2000,20.004,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_224224,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_224224.csv,2000,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_224255,dataset_a,BIBI,tremor,data/raw/dataset_a/tremor_BIBI/imu_20260721_224255.csv,2000,20.005,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203056,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203056.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203128,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203128.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203200,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203200.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203245,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203245.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203312,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203312.csv,2001,20.004,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_203346,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203346.csv,2001,20.006,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_203417,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203417.csv,2001,20.003,10.0,6.0,13.0,0,0
dataset_a:imu_20260721_203445,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203445.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_203519,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203519.csv,2001,20.005,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_203543,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203543.csv,2001,20.005,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_203606,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_203606.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_215110,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215110.csv,2001,20.005,10.0,7.0,14.0,0,0
dataset_a:imu_20260721_215133,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215133.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_215223,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215223.csv,2001,20.002,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_215726,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215726.csv,2002,20.008,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_215749,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215749.csv,2001,20.0,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_215828,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215828.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_215941,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_215941.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_220015,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_220015.csv,2001,20.005,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_220049,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_220049.csv,2001,20.003,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_220445,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_220445.csv,2001,20.007,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_220513,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_220513.csv,2001,20.004,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_220956,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_220956.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221020,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_221020.csv,2001,20.005,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_221056,dataset_a,euno,tremor,data/raw/dataset_a/tremor_euno/imu_20260721_221056.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222005,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222005.csv,2002,20.007,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222050,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222050.csv,2002,20.009,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222119,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222119.csv,2002,20.008,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222446,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222446.csv,2002,20.007,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222509,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222509.csv,2002,20.006,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222534,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222534.csv,2002,20.008,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222600,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222600.csv,2002,20.008,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222630,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222630.csv,2002,20.007,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_222915,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222915.csv,2002,20.009,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_222939,dataset_a,march,tremor,data/raw/dataset_a/tremor_march/imu_20260721_222939.csv,2002,20.009,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_195856,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_195856.csv,2001,20.004,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_200002,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200002.csv,2001,20.003,10.0,5.0,14.0,0,0
dataset_a:imu_20260721_200033,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200033.csv,2001,20.006,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_200059,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200059.csv,2001,20.003,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_200128,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200128.csv,2001,20.005,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_200152,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200152.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_200233,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200233.csv,2001,20.0,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_200256,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200256.csv,2001,20.001,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_200321,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200321.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_200433,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200433.csv,2001,20.006,10.0,9.0,11.0,0,0
dataset_a:imu_20260721_200508,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200508.csv,2001,20.006,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_200530,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200530.csv,2001,20.005,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_200553,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200553.csv,2001,20.003,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_200617,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200617.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_200642,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200642.csv,2001,20.003,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_200826,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200826.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_200851,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_200851.csv,2001,20.002,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_201011,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201011.csv,2001,20.002,10.0,6.0,14.0,0,0
dataset_a:imu_20260721_201034,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201034.csv,2001,20.004,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_201110,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201110.csv,2001,20.001,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201149,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201149.csv,2001,20.006,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_201211,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201211.csv,2001,20.005,10.0,8.0,12.0,0,0
dataset_a:imu_20260721_201234,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201234.csv,2001,20.005,10.0,5.0,15.0,0,0
dataset_a:imu_20260721_201256,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201256.csv,2001,20.004,10.0,7.0,13.0,0,0
dataset_a:imu_20260721_201318,dataset_a,seojin,tremor,data/raw/dataset_a/tremor_seojin/imu_20260721_201318.csv,2001,20.003,10.0,5.0,15.0,0,0
dataset_b:anna_still_01,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_01.csv,960,20.007,19.0,9.0,89.0,0,0
dataset_b:anna_still_02,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_02.csv,830,20.007,20.0,9.0,99.0,0,0
dataset_b:anna_still_03,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_03.csv,891,20.016,20.0,9.0,90.0,0,0
dataset_b:anna_still_04,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_04.csv,898,20.009,19.0,9.0,90.0,0,0
dataset_b:anna_still_05,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_05.csv,785,20.037,20.0,9.0,100.0,0,0
dataset_b:anna_still_06,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_06.csv,880,20.036,19.0,9.0,79.0,0,0
dataset_b:anna_still_07,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_07.csv,1146,20.007,11.0,8.0,60.0,0,0
dataset_b:anna_still_08,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_08.csv,1013,20.015,19.0,9.0,89.0,0,0
dataset_b:anna_still_09,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_09.csv,893,20.006,20.0,9.0,80.0,0,0
dataset_b:anna_still_10,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_10.csv,796,20.006,20.0,8.0,90.0,0,0
dataset_b:anna_still_11,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_11.csv,965,20.004,20.0,8.0,70.0,0,0
dataset_b:anna_still_12,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_12.csv,1072,20.016,19.0,9.0,90.0,0,0
dataset_b:anna_still_13,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_13.csv,958,20.016,19.0,9.0,70.0,0,0
dataset_b:anna_still_14,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_14.csv,1059,20.005,19.0,8.0,61.0,0,0
dataset_b:anna_still_15,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_15.csv,1017,20.002,19.0,9.0,100.0,0,0
dataset_b:anna_still_16,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_16.csv,967,20.001,20.0,9.0,70.0,0,0
dataset_b:anna_still_17,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_17.csv,797,20.004,20.0,9.0,70.0,0,0
dataset_b:anna_still_18,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_18.csv,897,20.004,19.0,9.0,81.0,0,0
dataset_b:anna_still_19,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_19.csv,983,20.016,19.0,9.0,90.0,0,0
dataset_b:anna_still_20,dataset_b,anna,non_tremor,data/raw/dataset_b/anna_still/anna_still_20.csv,917,20.029,20.0,9.0,99.0,0,0
dataset_b:anna_tremor_01,dataset_b,anna,tremor,data/raw/dataset_b/anna_tremor/anna_tremor_01.csv,1075,20.001,19.0,9.0,99.0,0,0
dataset_b:anna_tremor_02,dataset_b,anna,tremor,data/raw/dataset_b/anna_tremor/anna_tremor_02.csv,1248,20.005,11.0,9.0,70.0,0,0
dataset_b:anna_tremor_03,dataset_b,anna,tremor,data/raw/dataset_b/anna_tremor/anna_tremor_03.csv,1138,20.007,19.0,9.0,70.0,0,0
dataset_b:anna_tremor_04,dataset_b,anna,tremor,data/raw/dataset_b/anna_tremor/anna_tremor_04.csv,1081,20.0,19.0,9.0,109.0,0,1
